timestamp,process_id,worker_id,label,release,batch,metric,value
2025-09-18T16:33:20.755000,62819,1,worker-1,2023-09-25,0,latency,7.178
2025-09-18T16:33:20.819000,62820,2,worker-2,2023-09-26,0,latency,7.126
2025-09-18T16:33:26.485000,62819,1,worker-1,2023-09-25,1,latency,5.730
2025-09-18T16:33:26.486000,62819,1,worker-1,2023-09-25,2,batches,2.000
2025-09-18T16:33:26.824000,62819,1,worker-1,2023-09-25,,max-rss,3.813
2025-09-18T16:33:26.834000,62817,,coordinator,,,max-rss,0.055
2025-09-18T16:33:28.204000,62820,2,worker-2,2023-09-26,1,latency,7.384
2025-09-18T16:33:34.603000,62819,1,worker-1,2023-09-27,0,latency,6.929
2025-09-18T16:33:35.829000,62820,2,worker-2,2023-09-26,2,latency,7.625
2025-09-18T16:33:38.042000,62820,2,worker-2,2023-09-26,3,latency,2.212
2025-09-18T16:33:38.042000,62820,2,worker-2,2023-09-26,4,batches,4.000
2025-09-18T16:33:38.370000,62820,2,worker-2,2023-09-26,,max-rss,6.032
2025-09-18T16:33:38.436000,62817,,coordinator,,,max-rss,0.059
2025-09-18T16:33:42.116000,62819,1,worker-1,2023-09-27,1,latency,7.513
2025-09-18T16:33:44.894000,62820,2,worker-2,2023-09-28,0,latency,5.873
2025-09-18T16:33:50.354000,62819,1,worker-1,2023-09-27,2,latency,8.238
2025-09-18T16:33:52.814000,62820,2,worker-2,2023-09-28,1,latency,7.920
2025-09-18T16:33:56.536000,62819,1,worker-1,2023-09-27,3,latency,6.182
2025-09-18T16:33:56.537000,62819,1,worker-1,2023-09-27,4,batches,4.000
2025-09-18T16:33:57.118000,62819,1,worker-1,2023-09-27,,max-rss,6.762
2025-09-18T16:33:57.126000,62817,,coordinator,,,max-rss,0.061
2025-09-18T16:34:00.451000,62820,2,worker-2,2023-09-28,2,latency,7.636
2025-09-18T16:34:04.872000,62819,1,worker-1,2023-09-29,0,latency,7.221
2025-09-18T16:34:05.359000,62820,2,worker-2,2023-09-28,3,latency,4.908
2025-09-18T16:34:05.359000,62820,2,worker-2,2023-09-28,4,batches,4.000
2025-09-18T16:34:05.741000,62820,2,worker-2,2023-09-28,,max-rss,6.815
2025-09-18T16:34:05.750000,62817,,coordinator,,,max-rss,0.063
2025-09-18T16:34:12.694000,62819,1,worker-1,2023-09-29,1,latency,7.822
2025-09-18T16:34:13.402000,62820,2,worker-2,2023-09-30,0,latency,7.085
2025-09-18T16:34:21.114000,62820,2,worker-2,2023-09-30,1,latency,7.712
2025-09-18T16:34:21.132000,62819,1,worker-1,2023-09-29,2,latency,8.437
2025-09-18T16:34:24.750000,62819,1,worker-1,2023-09-29,3,latency,3.618
2025-09-18T16:34:24.750000,62819,1,worker-1,2023-09-29,4,batches,4.000
2025-09-18T16:34:25.144000,62819,1,worker-1,2023-09-29,,max-rss,7.219
2025-09-18T16:34:25.290000,62817,,coordinator,,,max-rss,0.064
2025-09-18T16:34:27.990000,62820,2,worker-2,2023-09-30,2,latency,6.876
2025-09-18T16:34:32.431000,62819,1,worker-1,2023-10-01,0,latency,6.619
2025-09-18T16:34:34.747000,62820,2,worker-2,2023-09-30,3,latency,6.758
2025-09-18T16:34:34.748000,62820,2,worker-2,2023-09-30,4,batches,4.000
2025-09-18T16:34:35.468000,62820,2,worker-2,2023-09-30,,max-rss,7.363
2025-09-18T16:34:35.504000,62817,,coordinator,,,max-rss,0.065
2025-09-18T16:34:39.354000,62819,1,worker-1,2023-10-01,1,latency,6.922
2025-09-18T16:34:43.433000,62820,2,worker-2,2023-10-02,0,latency,7.177
2025-09-18T16:34:47.444000,62819,1,worker-1,2023-10-01,2,latency,8.090
2025-09-18T16:34:51.418000,62820,2,worker-2,2023-10-02,1,latency,7.985
2025-09-18T16:34:51.935000,62819,1,worker-1,2023-10-01,3,latency,4.491
2025-09-18T16:34:51.935000,62819,1,worker-1,2023-10-01,4,batches,4.000
2025-09-18T16:34:52.299000,62819,1,worker-1,2023-10-01,,max-rss,7.596
2025-09-18T16:34:52.307000,62817,,coordinator,,,max-rss,0.067
2025-09-18T16:34:58.896000,62820,2,worker-2,2023-10-02,2,latency,7.478
2025-09-18T16:34:59.779000,62819,1,worker-1,2023-10-03,0,latency,6.910
2025-09-18T16:35:05.488000,62820,2,worker-2,2023-10-02,3,latency,6.591
2025-09-18T16:35:05.488000,62820,2,worker-2,2023-10-02,4,batches,4.000
2025-09-18T16:35:05.875000,62820,2,worker-2,2023-10-02,,max-rss,7.875
2025-09-18T16:35:05.884000,62817,,coordinator,,,max-rss,0.068
